subset,cell,chemistry,flags,severity,knee_rank_spread,curv_rank_spread,knee_lifefrac_gap_obs_vs_proc,n_total,n_measured,n_extrapolated,extrap_frac,pchip_changed,eol_cycle,soh_first,soh_last,knee_curvature_max_lifefrac,knee_bilinear_lifefrac,knee_tangent_cross_lifefrac
Tongji,Tongji1_CY45-05_1--28.pkl,NCA,curv_rank_spread>=0.7,0.8508,0.5596,0.8508,0.0,434,434,0,0.0,0,435.0,0.9580772471850968,0.7995030526871757,0.45057471264367815,0.15215733841621903,0.24030793574311496
MATR,MATR_b3c9.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.85,0.85,0.7167,0.0,1037,1037,0,0.0,0,1037.0,0.972256909090909,0.8001012727272726,0.05014464802314368,0.8157557314053392,0.7410049156895664
Tongji,Tongji2_CY45-05_1--15.pkl,NMC,curv_rank_spread>=0.7,0.85,0.6031,0.85,0.0,393,393,0,0.0,0,394.0,0.9502758328809756,0.7995020271751374,0.5964467005076142,0.2285590388490677,0.30489175642903127
Tongji,Tongji2_CY45-05_1--22.pkl,NMC,curv_rank_spread>=0.7,0.85,0.5058,0.85,0.0,410,410,0,0.0,0,412.0,0.94729633762862,0.7993496809855914,0.4878640776699029,0.22838708103624925,0.30269603752896407
MATR,MATR_b3c0.pkl,LFP,knee_rank_spread>=0.7,0.8497,0.8497,0.6558,0.004,1008,1007,1,0.000992,0,1008.0,0.9704137272727272,0.8,0.050595238095238096,0.8318252971205233,0.7501589510732859
MATR,MATR_b4c35.pkl,LFP,knee_rank_spread>=0.7,0.8493,0.8493,0.6242,0.0,1081,1081,0,0.0,0,1081.0,0.958001,0.7986716272727272,0.05087881591119334,0.8398467824785353,0.7429918949613868
ISU_ILCC,ISU-ILCC_G19C2.pkl,NMC,curv_rank_spread>=0.7,0.8492,0.0,0.8492,,346,346,0,0.0,0,346.0,0.9812106379890054,0.7977834834619068,0.8641618497109826,,
MATR,MATR_b3c19.pkl,LFP,knee_rank_spread>=0.7,0.8489,0.8489,0.4625,0.0,1153,1153,0,0.0,0,1153.0,0.9744770909090907,0.8000670272727272,0.05030355594102342,0.7836049283712578,0.7461622809798301
MATR,MATR_b3c30.pkl,LFP,knee_rank_spread>=0.7,0.8486,0.8486,0.6183,0.0,934,933,1,0.001071,0,934.0,0.9715811818181818,0.8,0.05032119914346895,0.815775343527057,0.7469711412202501
Tongji,Tongji2_CY45-05_1--21.pkl,NMC,curv_rank_spread>=0.7,0.8483,0.4733,0.8483,0.0,435,435,0,0.0,0,436.0,0.9555782097147436,0.7995432150178657,0.44495412844036697,0.22417823060255404,0.29939294250565035
ISU_ILCC,ISU-ILCC_G10C4.pkl,NMC,curv_rank_spread>=0.7,0.8475,0.5279,0.8475,0.0,882,882,0,0.0,0,882.0,0.9887835664959033,0.7963633990109074,0.5839002267573696,0.2777042810424002,0.31505701246480294
Tongji,Tongji1_CY45-05_1--25.pkl,NCA,curv_rank_spread>=0.7,0.8467,0.4305,0.8467,0.0,440,440,0,0.0,1,441.0,0.9542056663922606,0.799575241035892,0.2811791383219955,0.15210405770348343,0.2589292810967029
RWTH,RWTH_028.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8442,0.8205,0.8442,0.004,611,611,0,0.0,1,615.0,0.9600716745342643,0.7980374888333087,0.7967479674796748,0.18976181721616212,0.1438600552666952
Tongji,Tongji2_CY45-05_1--13.pkl,NMC,curv_rank_spread>=0.7,0.8442,0.522,0.8442,0.0,385,385,0,0.0,0,386.0,0.943924078563717,0.7997632036330841,0.5362694300518135,0.24463769625328718,0.30204483125388465
Tongji,Tongji1_CY25-05_1--19.pkl,NCA,knee_rank_spread>=0.7,0.8431,0.8431,0.4783,0.0,127,127,0,0.0,0,128.0,0.9297681930308326,0.796662720057355,0.0625,0.8342886306532664,0.9485531230488965
Tongji,Tongji2_CY45-05_1--20.pkl,NMC,curv_rank_spread>=0.7,0.8425,0.5878,0.8425,0.0,394,394,0,0.0,0,395.0,0.9473335274267968,0.7997877243698072,0.5974683544303797,0.23654856561287452,0.30395814398297616
ZN-coin,ZN-coin_438-3_20231227204754_04_5.pkl,MnO2,curv_rank_spread>=0.7,0.8425,0.1073,0.8425,0.0,1082,1082,0,0.0,0,1082.0,1.0,0.7993638534282791,0.0878003696857671,0.4623064490660326,
MATR,MATR_b3c1.pkl,LFP,knee_rank_spread>=0.7,0.8414,0.8414,0.5667,0.0,1062,1061,1,0.000942,0,1062.0,0.9682366363636363,0.8,0.05084745762711865,0.8157515449185665,0.7550407940997086
RWTH,RWTH_035.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8412,0.8412,0.7325,0.0281,674,674,0,0.0,1,679.0,0.9566512549602808,0.7962315753612277,0.9337260677466863,0.3341479118715818,0.2602540667396262
MATR,MATR_b4c19.pkl,LFP,knee_rank_spread>=0.7,0.8408,0.8408,0.6183,0.0,991,991,0,0.0,0,991.0,0.9547239999999998,0.7997377363636363,0.050454086781029264,0.8237960742156798,0.7488628242046496
Tongji,Tongji2_CY35-05_1--3.pkl,NMC,curv_rank_spread>=0.7,0.8408,0.5554,0.8408,0.0,481,481,0,0.0,0,491.0,0.9228807112772043,0.7985624272906974,0.5213849287169042,0.2197740228638099,0.2873128620170298
MATR,MATR_b4c27.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8401,0.8401,0.7933,0.0,500,500,0,0.0,0,500.0,0.9425263636363634,0.798450109090909,0.052,0.8440311557788945,0.7465873631453701
RWTH,RWTH_014.pkl,NMC,curv_rank_spread>=0.7,0.84,0.6403,0.84,0.008,582,582,0,0.0,1,585.0,0.9620244502533607,0.8007505738726811,0.8085470085470086,0.3664115449040072,0.3186068964030187
Tongji,Tongji2_CY45-05_1--16.pkl,NMC,curv_rank_spread>=0.7,0.84,0.5035,0.84,0.0,405,405,0,0.0,0,407.0,0.9505289892904035,0.7992941517327006,0.49385749385749383,0.23243366710703398,0.30775926325778735
RWTH,RWTH_018.pkl,NMC,curv_rank_spread>=0.7,0.8392,0.6555,0.8392,0.0161,682,682,0,0.0,1,686.0,0.948010713126707,0.7985576558675022,0.7055393586005831,0.35019485181007076,0.2595390723217664
RWTH,RWTH_020.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8387,0.8387,0.8033,0.0241,699,699,0,0.0,1,703.0,0.9519096546679221,0.7998769363094487,0.8918918918918919,0.3260856201348135,0.23004686153028325
Tongji,Tongji2_CY45-05_1--11.pkl,NMC,curv_rank_spread>=0.7,0.8383,0.5697,0.8383,0.0,377,377,0,0.0,0,378.0,0.9416389141517855,0.7996873419177054,0.5529100529100529,0.22872563877589003,0.292564738674421
Tongji,Tongji2_CY45-05_1--19.pkl,NMC,curv_rank_spread>=0.7,0.8383,0.5074,0.8383,0.016,409,409,0,0.0,1,411.0,0.9486630674547368,0.7995754025452636,0.48905109489051096,0.2283962391030579,0.3003912809841688
ISU_ILCC,ISU-ILCC_G13C2.pkl,NMC,curv_rank_spread>=0.7,0.8367,0.0573,0.8367,0.0,861,861,0,0.0,0,861.0,0.9947057685038729,0.7996971257892658,0.05110336817653891,0.19741564967695624,0.11815859731315341
Tongji,Tongji2_CY45-05_1--28.pkl,NMC,curv_rank_spread>=0.7,0.8358,0.4783,0.8358,0.0,414,414,0,0.0,0,415.0,0.9488780039625183,0.7997248685556563,0.46987951807228917,0.22835987164739363,0.3051057791290443
Stanford_2,Stanford_Nova_Regular_115.pkl,NMC,curv_rank_spread>=0.7,0.835,0.4474,0.835,0.0,488,488,0,0.0,0,488.0,1.0297054424881935,0.7993147398034732,0.09016393442622951,0.7357185517752698,0.7093478385067451
MATR,MATR_b4c42.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8343,0.8343,0.7492,0.0,774,774,0,0.0,0,774.0,0.9542047272727271,0.7993865545454545,0.050387596899224806,0.8198310674821133,0.7294005750442597
NA-ion,NA-ion_270040-1-6-59.pkl,미상,knee_rank_spread>=0.7,0.8343,0.8343,0.3242,0.0,201,201,0,0.0,0,201.0,0.904405,0.7998451,0.06467661691542288,0.8764969124228106,
Tongji,Tongji1_CY25-05_1--7.pkl,NCA,knee_rank_spread>=0.7,0.8343,0.8343,0.3667,0.0,143,143,0,0.0,0,144.0,0.9314636851162578,0.7971030622912403,0.0625,0.7824609156895589,0.9038958996145424
Tongji,Tongji2_CY45-05_1--12.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8343,0.8343,0.8175,0.0,435,435,0,0.0,0,436.0,0.9482695958365889,0.8000720210352723,0.9128440366972477,0.22817989027707347,0.2997573738738232
Tongji,Tongji2_CY45-05_1--27.pkl,NMC,curv_rank_spread>=0.7,0.8333,0.5402,0.8333,0.0,450,450,0,0.0,0,451.0,0.9501660209532343,0.7997548775632435,0.5232815964523282,0.22806159400104736,0.298638565748646
Tongji,Tongji2_CY45-05_1--24.pkl,NMC,curv_rank_spread>=0.7,0.8317,0.494,0.8317,0.0,424,424,0,0.0,0,426.0,0.947270788122714,0.7993913420091229,0.47183098591549294,0.2242621558496709,0.30106379014162754
Tongji,Tongji2_CY45-05_1--8.pkl,NMC,curv_rank_spread>=0.7,0.8317,0.467,0.8317,0.0,399,399,0,0.0,0,407.0,0.9413981562572469,0.7996931349833355,0.4742014742014742,0.23643401281592238,0.29028754010302465
Tongji,Tongji2_CY45-05_1--14.pkl,NMC,curv_rank_spread>=0.7,0.8308,0.5201,0.8308,0.0,387,387,0,0.0,0,388.0,0.9425575517309952,0.799750150159079,0.5180412371134021,0.23261928197689483,0.2957546166172806
Tongji,Tongji2_CY45-05_1--26.pkl,NMC,curv_rank_spread>=0.7,0.8292,0.5073,0.8292,0.0,408,408,0,0.0,0,410.0,0.9482784303899275,0.7995230567751731,0.4902439024390244,0.2284054418433632,0.30172232846901337
NA-ion,NA-ion_270040-6-8-24.pkl,미상,knee_rank_spread>=0.7;observed_vs_processed_kneefrac>=0.05,0.8291,0.8291,0.455,0.1042,270,235,35,0.12963,0,270.0,0.8993452,0.8,0.05925925925925926,0.7561827656802532,0.785060277931883
MATR,MATR_b4c38.pkl,LFP,knee_rank_spread>=0.7,0.8276,0.8276,0.6333,0.0,1165,1165,0,0.0,0,1165.0,0.9613796363636362,0.799877809090909,0.050643776824034335,0.8197528414605215,0.7488893954298157
MATR,MATR_b3c38.pkl,LFP,knee_rank_spread>=0.7,0.8252,0.8252,0.3508,0.0,1933,1933,0,0.0,0,1933.0,0.9728611818181817,0.8000041636363636,0.05018106570098293,0.7875471511723128,0.7383331177492597
Tongji,Tongji2_CY45-05_1--2.pkl,NMC,curv_rank_spread>=0.7,0.825,0.502,0.825,0.0,421,421,0,0.0,0,430.0,0.9458732455552459,0.7979189659039011,0.4720930232558139,0.22022671497019983,0.2819343405320454
SNL,SNL_18650_NMC_15C_0-100_0.5-2C_a.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8242,0.7223,0.8242,0.0399,152,152,0,0.0,1,152.0,1.008888888888889,0.8,0.7236842105263158,0.20176871198095744,0.36649371453694773
MATR,MATR_b3c8.pkl,LFP,knee_rank_spread>=0.7,0.8239,0.8239,0.6975,0.0,827,826,1,0.001209,0,827.0,0.967942,0.8,0.05078597339782346,0.827846609103559,0.7455822318660507
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_a.pkl,NCA,curv_rank_spread>=0.7,0.8225,0.4043,0.8225,0.0361,378,378,0,0.0,1,378.0,0.9540624999999999,0.7996875,0.656084656084656,0.4752612267687646,
MATR,MATR_b4c33.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8211,0.8211,0.7542,0.0,505,505,0,0.0,0,505.0,0.9673793636363635,0.7992042727272727,0.05148514851485148,0.8319916413751929,0.7513715497919368
Tongji,Tongji2_CY25-05_1--9.pkl,NMC,knee_rank_spread>=0.7,0.8207,0.8207,0.3992,0.0,314,314,0,0.0,0,321.0,0.9027184093212115,0.7973819497869774,0.7912772585669782,0.2094788584667888,0.13234492620662855
Tongji,Tongji1_CY45-05_1--6.pkl,NCA,curv_rank_spread>=0.7,0.82,0.3332,0.82,0.0451,249,199,50,0.200803,0,257.0,0.9554170687181068,0.8017659439530606,0.40077821011673154,0.3024558590618462,0.3059088255839868
ISU_ILCC,ISU-ILCC_G57C3.pkl,NMC,knee_rank_spread>=0.7,0.8197,0.8197,0.1142,0.0,4830,4830,0,0.0,0,4830.0,0.9842010122921183,0.7982937805549257,0.9109730848861284,0.33732315823423537,0.26423490001139965
RWTH,RWTH_029.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8192,0.7672,0.8192,0.0161,647,647,0,0.0,1,651.0,0.9572183994031516,0.7996703376400895,0.7619047619047619,0.19370276883650206,
RWTH,RWTH_042.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8192,0.7948,0.8192,0.004,602,602,0,0.0,1,606.0,0.9595190229700441,0.7991584400436296,0.768976897689769,0.3784143489725857,0.14087436260981148
SNL,SNL_18650_NMC_35C_0-100_0.5-2C_a.pkl,NMC,curv_rank_spread>=0.7,0.8192,0.4325,0.8192,0.0201,639,639,0,0.0,1,639.0,0.9646666666666667,0.8028666666666665,0.3129890453834116,0.18168463601261395,0.22563078296885813
ISU_ILCC,ISU-ILCC_G45C3.pkl,NMC,knee_rank_spread>=0.7,0.8187,0.8187,0.405,0.0,514,514,0,0.0,0,514.0,0.9974876879866732,0.7994431233312502,0.0622568093385214,0.8239612459183075,0.8349547988864805
Tongji,Tongji2_CY45-05_1--1.pkl,NMC,curv_rank_spread>=0.7,0.8183,0.6201,0.8183,0.0,411,411,0,0.0,0,420.0,0.9423369852675471,0.7979247079062031,0.6095238095238096,0.22831538645608998,0.2891354471943744
MATR,MATR_b4c3.pkl,LFP,knee_rank_spread>=0.7,0.8182,0.8182,0.6325,0.0,777,777,0,0.0,0,777.0,0.9520013636363635,0.7986519,0.05019305019305019,0.8037704610568932,0.7371112221082158
ISU_ILCC,ISU-ILCC_G58C1.pkl,NMC,knee_rank_spread>=0.7,0.818,0.818,0.5892,0.0,1509,1509,0,0.0,0,1509.0,0.9974291247797515,0.7988878486805298,0.8959575878064944,0.3135205517314872,0.2568604181858377
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_b.pkl,NCA,curv_rank_spread>=0.7,0.8175,0.4675,0.8175,0.0441,310,310,0,0.0,1,310.0,0.975,0.799375,0.8096774193548387,0.7801086075538987,0.5531340051812996
Tongji,Tongji1_CY45-05_1--15.pkl,NCA,curv_rank_spread>=0.7,0.8175,0.5476,0.8175,0.0,210,210,0,0.0,0,211.0,0.9571330939921641,0.7994668441035774,0.6966824644549763,0.3275405463335636,0.3416666026924917
Tongji,Tongji2_CY45-05_1--10.pkl,NMC,curv_rank_spread>=0.7,0.8175,0.6616,0.8175,0.0,399,399,0,0.0,0,407.0,0.9379784274977909,0.799854102302052,0.7542997542997543,0.24843504994258767,0.29429046214509075
Tongji,Tongji2_CY45-05_1--25.pkl,NMC,curv_rank_spread>=0.7,0.8167,0.518,0.8167,0.0,453,453,0,0.0,0,454.0,0.9531062978142437,0.79974569128387,0.5198237885462555,0.23604365439532465,0.3046769258160826
ISU_ILCC,ISU-ILCC_G31C3.pkl,NMC,knee_rank_spread>=0.7,0.8161,0.8161,0.5642,0.0,765,765,0,0.0,0,765.0,1.0045668393550655,0.7994127818271815,0.865359477124183,0.24169606200939342,0.2305120692481727
MATR,MATR_b3c5.pkl,LFP,knee_rank_spread>=0.7,0.816,0.816,0.67,0.0,827,826,1,0.001209,0,827.0,0.9558641818181817,0.8,0.05078597339782346,0.823831369665741,0.7294991874818411
SNL,SNL_18650_NMC_15C_0-100_0.5-1C_a.pkl,NMC,curv_rank_spread>=0.7,0.8158,0.1605,0.8158,,147,147,0,0.0,1,147.0,0.9988888888888888,0.7996296296296295,0.06802721088435375,,0.4348689653142246
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_d.pkl,NMC,knee_rank_spread>=0.7,0.8155,0.8155,0.6,0.004,391,391,0,0.0,1,391.0,0.9396666666666667,0.7999999999999999,0.8056265984654731,0.1945276253389711,0.16880591887216725
ISU_ILCC,ISU-ILCC_G10C3.pkl,NMC,curv_rank_spread>=0.7,0.8142,0.3119,0.8142,0.0,580,580,0,0.0,0,580.0,0.9911802337016647,0.7978730746781705,0.23620689655172414,0.2058941258014209,0.28141440494021547
XJTU,XJTU_3C_battery-4.pkl,NMC,curv_rank_spread>=0.7,0.8142,0.2975,0.8142,0.0,321,321,0,0.0,0,321.0,0.9325,0.7995,0.1059190031152648,0.6839023779332801,0.5188796009016982
XJTU,XJTU_2C_battery-2.pkl,NMC,curv_rank_spread>=0.7,0.8133,0.0601,0.8133,0.0,405,405,0,0.0,0,405.0,0.9305,0.8,0.2518518518518518,0.4751684347664248,0.4695938890930027
MATR,MATR_b3c18.pkl,LFP,knee_rank_spread>=0.7,0.8121,0.8121,0.4883,0.0,1144,1144,0,0.0,0,1144.0,0.9709306363636362,0.8000354909090909,0.050699300699300696,0.7916395790139509,0.7459963083107767
RWTH,RWTH_012.pkl,NMC,knee_rank_spread>=0.7,0.8115,0.8115,0.5967,0.0281,782,782,0,0.0,1,786.0,0.9635259817499312,0.7980237688565621,0.8231552162849872,0.20151968493868835,0.2644474494081868
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_a.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8092,0.7285,0.8092,0.0,406,406,0,0.0,1,406.0,0.9463333333333334,0.8063333333333333,0.7068965517241379,0.19044112186548506,0.22348468802942387
NA-ion,NA-ion_270040-1-7-58.pkl,미상,knee_rank_spread>=0.7,0.8076,0.8076,0.5175,0.0,214,214,0,0.0,0,214.0,0.8914667,0.799571,0.056074766355140186,0.8364462499412954,
ISU_ILCC,ISU-ILCC_G13C1.pkl,NMC,curv_rank_spread>=0.7,0.8075,0.2251,0.8075,0.0,544,544,0,0.0,0,544.0,0.9774829765764584,0.7985015775326305,0.25,0.27420096807567246,0.3054858649605497
RWTH,RWTH_006.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.8075,0.8002,0.8075,0.0321,724,724,0,0.0,1,728.0,0.9282463968077455,0.7997882031892081,0.8351648351648352,0.21364445855651887,0.3239197998424351
RWTH,RWTH_011.pkl,NMC,curv_rank_spread>=0.7;observed_vs_processed_kneefrac>=0.05,0.8067,0.6923,0.8067,0.1204,673,673,0,0.0,1,677.0,0.947171518566877,0.7982548481811115,0.7267355982274741,0.33415081314994477,0.23787188323302513
RWTH,RWTH_030.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7;observed_vs_processed_kneefrac>=0.05,0.8064,0.8064,0.7575,0.0642,682,682,0,0.0,1,686.0,0.9654071983319642,0.7983323862838592,0.8994169096209913,0.23378188317681706,0.3108574478678137
ISU_ILCC,ISU-ILCC_G12C1.pkl,NMC,curv_rank_spread>=0.7,0.8058,0.2525,0.8058,0.0,1505,1505,0,0.0,0,1505.0,0.9883603614877151,0.7992734268988468,0.12558139534883722,0.2452254628624852,0.17545164105260208
MATR,MATR_b4c44.pkl,LFP,knee_rank_spread>=0.7,0.8058,0.8058,0.6608,0.0,942,942,0,0.0,0,942.0,0.949113,0.7998000999999999,0.050955414012738856,0.8238053323944564,0.7425631930235861
SNL,SNL_18650_NMC_15C_0-100_0.5-2C_b.pkl,NMC,curv_rank_spread>=0.7,0.8042,0.1188,0.8042,0.0,143,143,0,0.0,1,143.0,0.9888888888888888,0.7996296296296295,0.08391608391608392,0.27794918649190004,0.4074871601581818
Tongji,Tongji2_CY45-05_1--7.pkl,NMC,curv_rank_spread>=0.7,0.8025,0.4688,0.8025,0.0,399,399,0,0.0,0,407.0,0.9392218384831511,0.7996770521801758,0.4742014742014742,0.23643401281592238,0.28747632860675776
MATR,MATR_b4c26.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.802,0.802,0.74,0.0,476,476,0,0.0,0,476.0,0.9423678181818181,0.7975922909090909,0.052521008403361345,0.8280002955956253,0.7520326954109191
Tongji,Tongji1_CY25-05_1--18.pkl,NCA,knee_rank_spread>=0.7,0.8013,0.8013,0.3267,0.0,150,150,0,0.0,0,151.0,0.9312787227760337,0.7973743297752364,0.059602649006622516,0.8418216912376453,
NA-ion,NA-ion_270040-3-1-56.pkl,미상,knee_rank_spread>=0.7,0.8008,0.8008,0.4525,0.0,128,128,0,0.0,0,128.0,0.8812963,0.7995476,0.0625,0.6654483354271358,0.7726968422122135
MATR,MATR_b1c31.pkl,LFP,knee_rank_spread>=0.7,0.7999,0.7999,0.505,0.0,876,874,2,0.002283,0,876.0,0.9951265454545454,0.8,0.0502283105022831,0.7635867694637573,0.7341547517817769
MATR,MATR_b3c31.pkl,LFP,knee_rank_spread>=0.7,0.7994,0.7994,0.685,0.0,730,729,1,0.00137,0,730.0,0.971073818181818,0.8,0.050684931506849315,0.8158305224753907,0.744533198298816
ISU_ILCC,ISU-ILCC_G29C2.pkl,NMC,curv_rank_spread>=0.7,0.7992,0.2465,0.7992,0.0,1152,1152,0,0.0,0,1152.0,1.0252149783897608,0.7994277026418648,0.2760416666666667,0.2855453482691235,0.32234608821176086
ZN-coin,ZN-coin_438-2_20231227204748_04_4.pkl,MnO2,curv_rank_spread>=0.7,0.7983,0.0,0.7983,,1377,1377,0,0.0,0,1377.0,1.0,0.7998596126435992,0.06971677559912855,,
Tongji,Tongji1_CY25-05_1--13.pkl,NCA,curv_rank_spread>=0.7,0.7975,0.4533,0.7975,0.0,139,139,0,0.0,0,140.0,0.9351537814756169,0.799264345972726,0.5714285714285714,0.3545800430725054,0.36984247121792296
ISU_ILCC,ISU-ILCC_G25C1.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7973,0.7973,0.7058,0.0,728,728,0,0.0,0,728.0,1.0033604785886279,0.7995858207914817,0.8392857142857143,0.21765903694295655,
Tongji,Tongji1_CY25-05_1--5.pkl,NCA,knee_rank_spread>=0.7,0.7973,0.7973,0.5975,0.0,150,150,0,0.0,0,151.0,0.9289384687155879,0.7986121216989863,0.8741721854304636,0.32216379912809084,0.2591166950090015
Stanford_2,Stanford_Nova_Regular_114.pkl,NMC,knee_rank_spread>=0.7,0.797,0.797,0.5775,0.0,564,564,0,0.0,0,564.0,1.02430892487367,0.7965088511506717,0.0726950354609929,0.8841254143055705,0.7804470285363155
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_b.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7968,0.7968,0.7242,0.0,524,524,0,0.0,1,524.0,0.9406666666666667,0.8079999999999999,0.8129770992366412,0.2060406996816142,0.3126762468014689
ISU_ILCC,ISU-ILCC_G29C4.pkl,NMC,curv_rank_spread>=0.7,0.7958,0.1832,0.7958,0.0,1312,1312,0,0.0,0,1312.0,1.0242102622576672,0.7998227916492924,0.1173780487804878,0.2372652132614291,0.24403015847279494
ISU_ILCC,ISU-ILCC_G32C4.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7953,0.7953,0.705,0.0,1680,1680,0,0.0,0,1680.0,1.0082375944493578,0.7837861323645169,0.050595238095238096,0.8116699569274947,
ISU_ILCC,ISU-ILCC_G39C4.pkl,NMC,knee_rank_spread>=0.7,0.7947,0.7947,0.1258,0.0,553,553,0,0.0,0,553.0,1.104957888888889,0.7985376666666667,0.06871609403254973,0.7155906112842695,0.8515084475704018
SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_a.pkl,NCA,curv_rank_spread>=0.7,0.7942,0.5139,0.7942,0.008,711,711,0,0.0,1,711.0,1.0510416666666662,0.7999999999999998,0.7144866385372715,0.37424817476977,
XJTU,XJTU_2C_battery-3.pkl,NMC,curv_rank_spread>=0.7,0.7933,0.0913,0.7933,0.0,392,392,0,0.0,0,392.0,0.9305,0.7905,0.2576530612244898,0.4832312070556867,0.43333160728687814
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j.pkl,블렌드,knee_rank_spread>=0.7,0.7929,0.7929,0.345,0.004,262,262,0,0.0,1,262.0,0.9471428571428573,0.7985714285714287,0.732824427480916,0.5239345582876214,0.08119199945191617
MATR,MATR_b3c12.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7913,0.7913,0.72,0.0,931,930,1,0.001074,0,931.0,0.976513909090909,0.8,0.050483351235230935,0.8077444148778263,0.7381368538127516
ISU_ILCC,ISU-ILCC_G37C4.pkl,NMC,curv_rank_spread>=0.7,0.7908,0.1449,0.7908,0.0,487,487,0,0.0,0,487.0,1.1137888888888887,0.7993662222222222,0.37166324435318276,0.7437433574443058,0.6403943409562918
XJTU,XJTU_3C_battery-7.pkl,NMC,curv_rank_spread>=0.7,0.7908,0.1233,0.7908,0.0,318,318,0,0.0,0,318.0,0.9385,0.799,0.330188679245283,0.6077699819853988,0.5002573212797203
Tongji,Tongji3_CY25-05_2--1.pkl,블렌드,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7907,0.7907,0.7667,0.0,451,451,0,0.0,1,457.0,0.9887163167133244,0.797916927600694,0.925601750547046,0.26003650638311915,0.31567557891353465
Stanford_2,Stanford_Nova_Regular_306.pkl,NMC,knee_rank_spread>=0.7,0.7893,0.7893,0.0942,0.0,1006,1006,0,0.0,0,1006.0,1.0119196648399036,0.7999811321496964,0.885685884691849,0.4422635044007313,0.26986533092979736
Tongji,Tongji2_CY45-05_1--9.pkl,NMC,curv_rank_spread>=0.7,0.7892,0.6018,0.7892,0.0042,419,399,20,0.047733,0,427.0,0.9395971254421269,0.8,0.5995316159250585,0.23225612841726198,0.2859075042529095
Tongji,Tongji1_CY25-05_1--15.pkl,NCA,knee_rank_spread>=0.7,0.7887,0.7887,0.4783,0.0,166,166,0,0.0,0,167.0,0.9364523884359885,0.7977673202813821,0.8502994011976048,0.22596515511690188,
Stanford_2,Stanford_Nova_Regular_275.pkl,NMC,knee_rank_spread>=0.7,0.7881,0.7881,0.5825,0.0,768,768,0,0.0,0,768.0,1.0350705434878669,0.7980638494094213,0.07552083333333333,0.8921004763400336,0.7308837938162616
ISU_ILCC,ISU-ILCC_G25C3.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7863,0.7863,0.7458,0.0,937,937,0,0.0,0,937.0,1.0006134097325718,0.7994510299947425,0.8772678762006404,0.27765615698556817,0.26826549768956587
XJTU,XJTU_2C_battery-4.pkl,NMC,curv_rank_spread>=0.7,0.7842,0.0515,0.7842,0.0,397,395,2,0.005038,0,397.0,0.929,0.8,0.25440806045340053,0.5193043302153083,0.4935868186146254
ZN-coin,ZN-coin_441-1_20231227204855_08_4.pkl,MnO2,curv_rank_spread>=0.7,0.7842,0.3185,0.7842,0.0,219,219,0,0.0,0,219.0,1.0,0.7099523290372715,0.1780821917808219,0.7283816341983892,0.7032231255867897
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_d.pkl,NMC,curv_rank_spread>=0.7,0.7825,0.1707,0.7825,0.004,592,592,0,0.0,1,592.0,0.9359999999999999,0.7999999999999999,0.08277027027027027,0.22593287382860253,0.17610081966097008
MATR,MATR_b4c9.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.7821,0.7821,0.7458,0.0,442,442,0,0.0,0,442.0,0.9619180909090909,0.7988478909090909,0.05203619909502263,0.8200061392937538,0.7454879275653757
