subset,cell,life_label,split,n_cycles
RWTH,RWTH_028.pkl,607,train,2010
ISU-ILCC,ISU-ILCC_G36C2.pkl,609,train,971
Stanford,Stanford_Nova_Regular_193.pkl,612,train,847
Stanford,Stanford_Nova_Regular_213.pkl,613,test,1020
Stanford,Stanford_Nova_Regular_202.pkl,613,test,1016
ISU-ILCC,ISU-ILCC_G8C2.pkl,614,train,1362
MATR,MATR_b1c38.pkl,614,train,615
MATR,MATR_b1c44.pkl,614,test,614
RWTH,RWTH_021.pkl,614,train,2283
MATR,MATR_b4c30.pkl,615,train,719
RWTH,RWTH_022.pkl,616,train,2283
Stanford,Stanford_Nova_Regular_209.pkl,618,test,899
RWTH,RWTH_003.pkl,621,train,2437
Stanford,Stanford_Nova_Regular_194.pkl,621,val,971
Stanford,Stanford_Nova_Regular_192.pkl,621,train,934
MATR,MATR_b1c39.pkl,622,test,623
RWTH,RWTH_048.pkl,623,train,2136
ISU-ILCC,ISU-ILCC_G20C3.pkl,625,train,763
RWTH,RWTH_017.pkl,627,test,2279
ISU-ILCC,ISU-ILCC_G28C3.pkl,628,train,2109
RWTH,RWTH_009.pkl,629,train,2399
RWTH,RWTH_047.pkl,629,train,2151
Stanford,Stanford_Nova_Regular_208.pkl,629,train,776
RWTH,RWTH_004.pkl,630,train,2416
Stanford,Stanford_Nova_Regular_210.pkl,631,train,794
SNL,SNL_18650_NCA_15C_0-100_0.5-1C_b.pkl,632,train,918
MATR,MATR_b1c6.pkl,633,train,634
RWTH,RWTH_045.pkl,636,train,1896
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_c.pkl,637,test,785
ISU-ILCC,ISU-ILCC_G20C4.pkl,639,train,715
SNL,SNL_18650_NMC_35C_0-100_0.5-2C_a.pkl,639,train,786
Stanford,Stanford_Nova_Regular_217.pkl,640,val,1044
Stanford,Stanford_Nova_Regular_203.pkl,642,train,831
ISU-ILCC,ISU-ILCC_G46C1.pkl,643,train,5932
RWTH,RWTH_029.pkl,643,val,2011
ISU-ILCC,ISU-ILCC_G52C1.pkl,646,train,2527
Stanford,Stanford_Nova_Regular_222.pkl,646,train,824
ISU-ILCC,ISU-ILCC_G35C1.pkl,647,train,1142
Stanford,Stanford_Nova_Regular_196.pkl,647,train,932
MATR,MATR_b1c37.pkl,648,test,646
MATR,MATR_b1c43.pkl,649,val,649
RWTH,RWTH_044.pkl,651,train,1894
ISU-ILCC,ISU-ILCC_G37C2.pkl,653,test,782
ISU-ILCC,ISU-ILCC_G46C2.pkl,654,val,5141
MATR,MATR_b4c4.pkl,656,train,912
ISU-ILCC,ISU-ILCC_G30C2.pkl,658,train,1231
RWTH,RWTH_043.pkl,658,test,1895
ISU-ILCC,ISU-ILCC_G52C3.pkl,661,test,2128
ISU-ILCC,ISU-ILCC_G27C4.pkl,663,train,8837
RWTH,RWTH_034.pkl,663,train,2126
ISU-ILCC,ISU-ILCC_G30C3.pkl,664,train,2002
ISU-ILCC,ISU-ILCC_G27C1.pkl,665,val,8903
MATR,MATR_b3c6.pkl,665,train,665
Stanford,Stanford_Nova_Regular_191.pkl,665,val,1042
Stanford,Stanford_Nova_Regular_Ref_101.pkl,665,train,778
RWTH,RWTH_032.pkl,667,val,2283
Stanford,Stanford_Nova_Regular_Ref_100.pkl,668,test,785
RWTH,RWTH_011.pkl,669,train,2437
RWTH,RWTH_035.pkl,669,test,2153
Stanford,Stanford_Nova_Regular_201.pkl,669,train,919
RWTH,RWTH_049.pkl,670,val,2135
ISU-ILCC,ISU-ILCC_G13C4.pkl,671,train,1886
MATR,MATR_b4c22.pkl,671,val,745
Stanford,Stanford_Nova_Regular_212.pkl,672,train,804
ISU-ILCC,ISU-ILCC_G17C4.pkl,674,train,1069
MATR,MATR_b4c15.pkl,675,train,871
ISU-ILCC,ISU-ILCC_G13C1.pkl,676,test,1943
ISU-ILCC,ISU-ILCC_G48C1.pkl,677,val,3936
MATR,MATR_b4c8.pkl,677,train,718
RWTH,RWTH_037.pkl,677,train,2168
RWTH,RWTH_018.pkl,678,train,2244
RWTH,RWTH_030.pkl,678,train,1488
Stanford,Stanford_Nova_Regular_207.pkl,682,test,1105
MATR,MATR_b1c18.pkl,687,train,688
RWTH,RWTH_008.pkl,688,test,2415
ISU-ILCC,ISU-ILCC_G41C1.pkl,694,test,11199
RWTH,RWTH_020.pkl,695,test,2237
RWTH,RWTH_010.pkl,696,val,2441
ISU-ILCC,ISU-ILCC_G37C1.pkl,698,test,947
ISU-ILCC,ISU-ILCC_G48C4.pkl,699,val,5610
MATR,MATR_b1c42.pkl,700,train,700
RWTH,RWTH_013.pkl,700,train,2447
MATR,MATR_b1c35.pkl,701,train,701
MATR,MATR_b1c36.pkl,704,val,702
ISU-ILCC,ISU-ILCC_G5C3.pkl,705,test,777
MATR,MATR_b4c6.pkl,706,test,777
RWTH,RWTH_025.pkl,706,train,2309
MATR,MATR_b1c30.pkl,707,val,707
RWTH,RWTH_036.pkl,710,train,2149
SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_a.pkl,711,,1123
MATR,MATR_b2c47.pkl,712,val,744
RWTH,RWTH_031.pkl,714,train,2264
Stanford,Stanford_Nova_Regular_205.pkl,714,train,833
ISU-ILCC,ISU-ILCC_G62C3.pkl,715,train,6861
ISU-ILCC,ISU-ILCC_G10C1.pkl,715,val,2035
ISU-ILCC,ISU-ILCC_G31C4.pkl,716,val,2992
ISU-ILCC,ISU-ILCC_G17C2.pkl,716,val,1237
Stanford,Stanford_Nova_Regular_206.pkl,718,val,1050
MATR,MATR_b1c15.pkl,719,train,717
RWTH,RWTH_006.pkl,720,train,2418
RWTH,RWTH_023.pkl,722,test,2322
Stanford,Stanford_Nova_Regular_211.pkl,722,train,981
ISU-ILCC,ISU-ILCC_G25C1.pkl,726,train,1523
ISU-ILCC,ISU-ILCC_G58C2.pkl,729,test,4047
MATR,MATR_b1c32.pkl,729,val,729
MATR,MATR_b3c31.pkl,729,train,729
RWTH,RWTH_033.pkl,732,train,2259
ISU-ILCC,ISU-ILCC_G41C2.pkl,735,test,6628
Stanford,Stanford_Nova_Regular_220.pkl,736,train,1019
RWTH,RWTH_002.pkl,737,val,2413
ISU-ILCC,ISU-ILCC_G55C3.pkl,738,test,7910
MATR,MATR_b4c39.pkl,738,val,761
CALCE,CALCE_CX2_35.pkl,739,val,1454
RWTH,RWTH_005.pkl,740,test,2396
RWTH,RWTH_016.pkl,740,train,2286
MATR,MATR_b4c2.pkl,742,test,784
MATR,MATR_b1c34.pkl,742,val,740
ISU-ILCC,ISU-ILCC_G2C2.pkl,743,test,2610
ISU-ILCC,ISU-ILCC_G31C3.pkl,744,train,2533
ISU-ILCC,ISU-ILCC_G21C2.pkl,745,train,926
ISU-ILCC,ISU-ILCC_G31C2.pkl,747,val,2618
MATR,MATR_b4c20.pkl,747,train,804
Stanford,Stanford_Nova_Regular_215.pkl,749,train,1099
MATR,MATR_b4c43.pkl,750,train,951
RWTH,RWTH_007.pkl,752,val,2414
MATR,MATR_b1c33.pkl,754,train,755
MATR,MATR_b4c32.pkl,754,val,839
ISU-ILCC,ISU-ILCC_G52C4.pkl,755,train,2269
RWTH,RWTH_015.pkl,759,test,2287
MATR,MATR_b4c1.pkl,760,train,861
RWTH,RWTH_024.pkl,761,val,2321
ISU-ILCC,ISU-ILCC_G8C4.pkl,763,train,2345
ISU-ILCC,ISU-ILCC_G3C3.pkl,764,train,1770
MATR,MATR_b3c21.pkl,770,train,770
MATR,MATR_b4c13.pkl,771,val,869
MATR,MATR_b4c21.pkl,773,train,903
MATR,MATR_b4c42.pkl,774,train,915
MATR,MATR_b4c3.pkl,777,val,911
RWTH,RWTH_012.pkl,778,train,2448
ISU-ILCC,ISU-ILCC_G51C3.pkl,779,test,5383
ISU-ILCC,ISU-ILCC_G41C3.pkl,781,train,8903
MATR,MATR_b3c41.pkl,784,test,784
ISU-ILCC,ISU-ILCC_G55C4.pkl,786,val,9655
MATR,MATR_b1c11.pkl,786,val,786
MATR,MATR_b1c19.pkl,786,train,786
ISU-ILCC,ISU-ILCC_G8C3.pkl,791,test,2902
SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_c.pkl,792,train,1251
MATR,MATR_b3c40.pkl,794,train,794
ISU-ILCC,ISU-ILCC_G41C4.pkl,799,train,10205
Stanford,Stanford_Nova_Regular_216.pkl,805,train,922
MATR,MATR_b3c20.pkl,811,test,811
MATR,MATR_b3c13.pkl,814,train,814
MATR,MATR_b3c11.pkl,815,val,815
ISU-ILCC,ISU-ILCC_G48C3.pkl,817,test,4979
ISU-ILCC,ISU-ILCC_G13C3.pkl,818,val,1788
MATR,MATR_b4c12.pkl,818,train,898
MATR,MATR_b3c24.pkl,823,train,823
Stanford,Stanford_Nova_Regular_226.pkl,824,train,1128
ISU-ILCC,ISU-ILCC_G25C2.pkl,826,train,1589
MATR,MATR_b3c8.pkl,826,train,826
MATR,MATR_b3c5.pkl,826,test,826
MATR,MATR_b4c17.pkl,827,test,930
CALCE,CALCE_CX2_16.pkl,828,test,1279
MATR,MATR_b4c28.pkl,828,val,882
Stanford,Stanford_Nova_Regular_229.pkl,834,train,936
ISU-ILCC,ISU-ILCC_G61C2.pkl,836,train,7487
ISU-ILCC,ISU-ILCC_G12C2.pkl,836,test,1518
MATR,MATR_b4c41.pkl,836,test,997
SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_d.pkl,840,val,1509
MATR,MATR_b1c27.pkl,841,val,840
ISU-ILCC,ISU-ILCC_G10C2.pkl,842,val,2358
MATR,MATR_b3c27.pkl,847,train,848
MATR,MATR_b1c25.pkl,852,val,852
ISU-ILCC,ISU-ILCC_G62C2.pkl,855,train,6700
MATR,MATR_b3c29.pkl,855,test,856
MATR,MATR_b4c0.pkl,856,test,982
MATR,MATR_b3c14.pkl,856,train,856
MATR,MATR_b1c28.pkl,858,val,858
MATR,MATR_b1c17.pkl,858,train,855
Stanford,Stanford_Nova_Regular_225.pkl,859,train,1042
MATR,MATR_b1c16.pkl,860,train,860
ISU-ILCC,ISU-ILCC_G55C2.pkl,862,train,8625
MATR,MATR_b4c37.pkl,863,train,1005
MATR,MATR_b4c11.pkl,863,train,930
MATR,MATR_b1c26.pkl,868,train,868
MATR,MATR_b1c7.pkl,869,train,868
MATR,MATR_b4c40.pkl,871,train,1122
MATR,MATR_b4c10.pkl,872,train,1082
ISU-ILCC,ISU-ILCC_G55C1.pkl,874,train,9788
MATR,MATR_b3c15.pkl,874,train,874
MATR,MATR_b1c31.pkl,875,train,874
MATR,MATR_b1c14.pkl,877,val,878
Stanford,Stanford_Nova_Regular_230.pkl,881,train,1219
Stanford,Stanford_Nova_Regular_214.pkl,885,val,925
ISU-ILCC,ISU-ILCC_G3C1.pkl,886,test,1993
Stanford,Stanford_Nova_Regular_223.pkl,886,test,1037
MATR,MATR_b4c29.pkl,887,train,956
MATR,MATR_b4c34.pkl,891,train,997
ISU-ILCC,ISU-ILCC_G47C4.pkl,902,train,6086
ISU-ILCC,ISU-ILCC_G13C2.pkl,906,train,3107
MATR,MATR_b4c18.pkl,906,train,1057
MATR,MATR_b4c16.pkl,909,val,983
Stanford,Stanford_Nova_Regular_227.pkl,909,val,1133
MATR,MATR_b4c5.pkl,913,val,1067
MATR,MATR_b1c29.pkl,915,test,915
ISU-ILCC,ISU-ILCC_G47C1.pkl,917,train,6027
Stanford,Stanford_Nova_Regular_228.pkl,917,train,1124
MATR,MATR_b3c36.pkl,921,train,921
ISU-ILCC,ISU-ILCC_G47C3.pkl,925,val,5977
ISU-ILCC,ISU-ILCC_G56C4.pkl,930,test,4672
MATR,MATR_b3c12.pkl,930,test,930
ISU-ILCC,ISU-ILCC_G17C3.pkl,932,train,1304
MATR,MATR_b3c30.pkl,933,test,933
ISU-ILCC,ISU-ILCC_G25C3.pkl,935,train,3037
ISU-ILCC,ISU-ILCC_G17C1.pkl,937,train,1466
MATR,MATR_b3c44.pkl,938,train,938
MATR,MATR_b4c44.pkl,942,test,1077
ISU-ILCC,ISU-ILCC_G2C3.pkl,957,test,2546
MATR,MATR_b1c40.pkl,964,test,964
ISU-ILCC,ISU-ILCC_G29C2.pkl,967,train,6560
SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_b.pkl,976,,1250
ISU-ILCC,ISU-ILCC_G51C4.pkl,980,train,5400
MATR,MATR_b3c25.pkl,988,train,987
MATR,MATR_b4c24.pkl,988,train,1115
MATR,MATR_b4c19.pkl,991,train,1111
ISU-ILCC,ISU-ILCC_G43C3.pkl,993,test,16463
MATR,MATR_b3c22.pkl,1000,train,1000
Stanford,Stanford_Nova_Regular_224.pkl,1004,val,1420
ISU-ILCC,ISU-ILCC_G7C1.pkl,1005,train,3033
MATR,MATR_b3c0.pkl,1007,test,1007
MATR,MATR_b1c23.pkl,1012,train,1012
MATR,MATR_b1c24.pkl,1015,test,1015
ISU-ILCC,ISU-ILCC_G10C4.pkl,1017,val,3912
ISU-ILCC,ISU-ILCC_G56C2.pkl,1019,train,4904
ISU-ILCC,ISU-ILCC_G51C2.pkl,1021,train,5504
ISU-ILCC,ISU-ILCC_G56C3.pkl,1025,train,3690
MATR,MATR_b3c26.pkl,1025,train,1026
ISU-ILCC,ISU-ILCC_G2C4.pkl,1031,test,2787
MATR,MATR_b3c9.pkl,1036,train,1037
MATR,MATR_b4c23.pkl,1038,train,1094
MATR,MATR_b3c4.pkl,1045,train,1046
MATR,MATR_b1c41.pkl,1049,train,1049
MATR,MATR_b1c9.pkl,1052,train,1052
MATR,MATR_b4c38.pkl,1055,train,1230
MATR,MATR_b3c1.pkl,1061,train,1061
MATR,MATR_b1c5.pkl,1071,train,1072
MATR,MATR_b3c10.pkl,1076,train,1076
MATR,MATR_b4c35.pkl,1081,test,1131
MATR,MATR_b3c35.pkl,1091,val,1091
ISU-ILCC,ISU-ILCC_G4C4.pkl,1112,train,2124
MATR,MATR_b3c3.pkl,1113,train,1113
ISU-ILCC,ISU-ILCC_G2C1.pkl,1119,val,2566
ISU-ILCC,ISU-ILCC_G58C3.pkl,1130,train,4332
ISU-ILCC,ISU-ILCC_G29C1.pkl,1133,val,3117
MATR,MATR_b3c18.pkl,1143,train,1144
MATR,MATR_b3c19.pkl,1152,test,1153
MATR,MATR_b3c39.pkl,1154,train,1154
MATR,MATR_b3c34.pkl,1156,val,1156
HUST,HUST_4-3.pkl,1164,train,1142
ISU-ILCC,ISU-ILCC_G61C4.pkl,1164,test,6411
ISU-ILCC,ISU-ILCC_G29C4.pkl,1166,train,3226
ISU-ILCC,ISU-ILCC_G7C2.pkl,1166,val,2775
HUST,HUST_1-6.pkl,1179,train,1143
ISU-ILCC,ISU-ILCC_G42C3.pkl,1185,train,13829
ISU-ILCC,ISU-ILCC_G56C1.pkl,1219,test,4840
ISU-ILCC,ISU-ILCC_G58C4.pkl,1220,test,4209
ISU-ILCC,ISU-ILCC_G7C4.pkl,1269,train,3538
ISU-ILCC,ISU-ILCC_G4C1.pkl,1271,train,2834
MATR,MATR_b3c33.pkl,1282,train,1282
ISU-ILCC,ISU-ILCC_G29C3.pkl,1309,train,4246
MATR,MATR_b3c17.pkl,1313,train,1313
HUST,HUST_7-3.pkl,1318,test,1295
ISU-ILCC,ISU-ILCC_G47C2.pkl,1334,train,7478
HUST,HUST_8-1.pkl,1338,train,1308
ISU-ILCC,ISU-ILCC_G32C2.pkl,1354,train,5857
ISU-ILCC,ISU-ILCC_G59C3.pkl,1371,val,13336
HUST,HUST_8-5.pkl,1382,test,1348
ISU-ILCC,ISU-ILCC_G44C1.pkl,1405,train,5108
HUST,HUST_4-6.pkl,1420,train,1380
HUST,HUST_7-4.pkl,1421,val,1393
MATR,MATR_b1c3.pkl,1431,train,1432
HUST,HUST_10-8.pkl,1432,val,1400
HUST,HUST_2-5.pkl,1441,train,1386
ISU-ILCC,ISU-ILCC_G44C4.pkl,1443,train,7304
HUST,HUST_7-6.pkl,1450,val,1419
ISU-ILCC,ISU-ILCC_G7C3.pkl,1453,train,9179
ISU-ILCC,ISU-ILCC_G42C2.pkl,1463,train,16285
ISU-ILCC,ISU-ILCC_G33C4.pkl,1472,train,5009
HUST,HUST_5-7.pkl,1490,val,1448
ISU-ILCC,ISU-ILCC_G4C2.pkl,1500,train,2794
ISU-ILCC,ISU-ILCC_G33C2.pkl,1500,test,5746
ISU-ILCC,ISU-ILCC_G58C1.pkl,1521,train,5378
HUST,HUST_4-4.pkl,1528,train,1491
HUST,HUST_2-8.pkl,1531,val,1481
HUST,HUST_1-1.pkl,1542,train,1504
HUST,HUST_2-4.pkl,1545,train,1499
HUST,HUST_1-4.pkl,1549,train,1500
ISU-ILCC,ISU-ILCC_G12C1.pkl,1560,val,3281
ISU-ILCC,ISU-ILCC_G4C3.pkl,1567,train,3024
ISU-ILCC,ISU-ILCC_G32C4.pkl,1569,train,5794
ISU-ILCC,ISU-ILCC_G32C3.pkl,1593,train,7329
ISU-ILCC,ISU-ILCC_G18C4.pkl,1597,train,3632
HUST,HUST_4-5.pkl,1600,train,1561
ISU-ILCC,ISU-ILCC_G32C1.pkl,1608,val,8273
HUST,HUST_2-6.pkl,1621,train,1572
HUST,HUST_5-5.pkl,1634,val,1583
MATR,MATR_b3c16.pkl,1635,train,1636
HUST,HUST_6-1.pkl,1667,train,1609
ISU-ILCC,ISU-ILCC_G33C1.pkl,1667,val,6453
HUST,HUST_3-3.pkl,1698,train,1649
ISU-ILCC,ISU-ILCC_G42C1.pkl,1700,train,13957
ISU-ILCC,ISU-ILCC_G18C3.pkl,1701,train,4050
MATR,MATR_b1c4.pkl,1705,test,1707
HUST,HUST_8-8.pkl,1722,train,1679
HUST,HUST_7-7.pkl,1726,train,1685
HUST,HUST_1-7.pkl,1726,train,1678
ISU-ILCC,ISU-ILCC_G18C2.pkl,1737,val,4062
HUST,HUST_10-2.pkl,1742,test,1697
HUST,HUST_4-8.pkl,1747,test,1706
HUST,HUST_7-1.pkl,1752,test,1690
HUST,HUST_10-1.pkl,1760,val,1702
HUST,HUST_6-4.pkl,1779,train,1717
HUST,HUST_9-6.pkl,1793,train,1742
MATR,MATR_b3c45.pkl,1799,train,1799
HUST,HUST_2-3.pkl,1810,val,1751
HUST,HUST_4-2.pkl,1812,test,1782
HUST,HUST_10-7.pkl,1821,train,1783
HUST,HUST_3-4.pkl,1829,test,1766
MATR,MATR_b3c7.pkl,1834,train,1834
HUST,HUST_10-4.pkl,1849,train,1811
MATR,MATR_b1c0.pkl,1858,test,1849
HUST,HUST_6-3.pkl,1869,train,1804
ISU-ILCC,ISU-ILCC_G57C4.pkl,1882,val,13784
HUST,HUST_10-3.pkl,1901,test,1848
HUST,HUST_7-5.pkl,1907,train,1873
ISU-ILCC,ISU-ILCC_G12C3.pkl,1910,train,2972
HUST,HUST_1-3.pkl,1911,train,1858
MATR,MATR_b3c38.pkl,1932,val,1933
HUST,HUST_8-4.pkl,1938,train,1885
HUST,HUST_9-3.pkl,1946,test,1905
HUST,HUST_6-2.pkl,1972,train,1908
HUST,HUST_7-8.pkl,1975,val,1938
HUST,HUST_5-2.pkl,1981,val,1926
ISU-ILCC,ISU-ILCC_G44C2.pkl,1989,train,7742
HUST,HUST_3-1.pkl,1995,train,1938
HUST,HUST_9-4.pkl,2023,test,1975
HUST,HUST_5-4.pkl,2025,train,1962
HUST,HUST_1-5.pkl,2033,train,1971
ISU-ILCC,ISU-ILCC_G49C2.pkl,2036,val,12010
ISU-ILCC,ISU-ILCC_G43C2.pkl,2042,train,13894
ISU-ILCC,ISU-ILCC_G43C4.pkl,2043,train,14465
HUST,HUST_9-7.pkl,2061,test,2012
HUST,HUST_10-5.pkl,2080,train,2030
HUST,HUST_7-2.pkl,2088,train,2030
HUST,HUST_8-2.pkl,2100,test,2041
HUST,HUST_9-1.pkl,2106,val,2057
HUST,HUST_8-7.pkl,2116,test,2047
ISU-ILCC,ISU-ILCC_G44C3.pkl,2144,train,6301
MATR,MATR_b1c1.pkl,2154,test,2158
ISU-ILCC,ISU-ILCC_G12C4.pkl,2169,train,4920
HUST,HUST_9-2.pkl,2189,train,2143
ISU-ILCC,ISU-ILCC_G43C1.pkl,2204,train,22037
HUST,HUST_9-5.pkl,2230,train,2168
MATR,MATR_b1c2.pkl,2237,val,2235
ISU-ILCC,ISU-ILCC_G34C3.pkl,2244,train,13646
HUST,HUST_6-5.pkl,2255,test,2178
HUST,HUST_2-7.pkl,2261,test,2202
HUST,HUST_4-7.pkl,2272,train,2216
HUST,HUST_4-1.pkl,2278,train,2217
SNL,SNL_18650_LFP_25C_0-100_0.5-3C_c.pkl,2325,train,3555
HUST,HUST_8-3.pkl,2338,val,2290
HUST,HUST_10-6.pkl,2344,train,2285
HUST,HUST_3-2.pkl,2353,train,2283
HUST,HUST_1-8.pkl,2359,val,2285
HUST,HUST_9-8.pkl,2377,train,2308
HUST,HUST_3-8.pkl,2412,val,2342
HUST,HUST_8-6.pkl,2436,train,2365
ISU-ILCC,ISU-ILCC_G34C4.pkl,2440,val,16586
ISU-ILCC,ISU-ILCC_G59C4.pkl,2512,test,20684
HUST,HUST_5-6.pkl,2538,train,2460
HUST,HUST_6-6.pkl,2542,train,2468
ISU-ILCC,ISU-ILCC_G50C2.pkl,2561,train,15269
HUST,HUST_3-7.pkl,2569,train,2479
HUST,HUST_6-8.pkl,2574,val,2450
HUST,HUST_3-6.pkl,2575,train,2491
HUST,HUST_5-1.pkl,2583,train,2507
ISU-ILCC,ISU-ILCC_G34C1.pkl,2593,train,13881
ISU-ILCC,ISU-ILCC_G1C4.pkl,2612,train,4596
ISU-ILCC,ISU-ILCC_G33C3.pkl,2646,test,5985
SNL,SNL_18650_LFP_35C_0-100_0.5-2C_b.pkl,2651,train,3598
ISU-ILCC,ISU-ILCC_G40C4.pkl,2668,train,10420
HUST,HUST_2-2.pkl,2716,train,2651
ISU-ILCC,ISU-ILCC_G40C2.pkl,2739,train,9335
HUST,HUST_1-2.pkl,2755,train,2678
ISU-ILCC,ISU-ILCC_G57C2.pkl,2755,train,13984
HUST,HUST_5-3.pkl,2764,train,2689
HUST,HUST_3-5.pkl,2768,train,2657
ISU-ILCC,ISU-ILCC_G59C2.pkl,2842,val,15040
SNL,SNL_18650_LFP_25C_0-100_0.5-3C_b.pkl,2902,test,4062
ISU-ILCC,ISU-ILCC_G40C1.pkl,2953,test,8897
ISU-ILCC,ISU-ILCC_G54C4.pkl,3005,test,9419
ISU-ILCC,ISU-ILCC_G59C1.pkl,3084,train,14109
ISU-ILCC,ISU-ILCC_G54C3.pkl,3107,test,10357
ISU-ILCC,ISU-ILCC_G34C2.pkl,3109,train,16644
ISU-ILCC,ISU-ILCC_G54C1.pkl,3139,val,11093
SNL,SNL_18650_LFP_25C_0-100_0.5-3C_d.pkl,3139,train,4062
ISU-ILCC,ISU-ILCC_G50C4.pkl,3151,train,19112
ISU-ILCC,ISU-ILCC_G50C1.pkl,3157,train,19073
SNL,SNL_18650_LFP_35C_0-100_0.5-1C_b.pkl,3162,train,3342
SNL,SNL_18650_LFP_25C_0-100_0.5-3C_a.pkl,3197,train,4569
ISU-ILCC,ISU-ILCC_G1C2.pkl,3204,test,11400
ISU-ILCC,ISU-ILCC_G1C3.pkl,3211,train,11482
ISU-ILCC,ISU-ILCC_G18C1.pkl,3285,train,14274
SNL,SNL_18650_LFP_35C_0-100_0.5-1C_c.pkl,3308,test,3342
ISU-ILCC,ISU-ILCC_G1C1.pkl,3323,train,10553
ISU-ILCC,ISU-ILCC_G54C2.pkl,3323,val,11825
ISU-ILCC,ISU-ILCC_G50C3.pkl,3343,train,21210
ISU-ILCC,ISU-ILCC_G6C1.pkl,3455,val,6223
ISU-ILCC,ISU-ILCC_G6C4.pkl,3474,val,12091
ISU-ILCC,ISU-ILCC_G49C4.pkl,3713,train,10471
SNL,SNL_18650_LFP_35C_0-100_0.5-1C_d.pkl,3768,train,3798
ISU-ILCC,ISU-ILCC_G6C3.pkl,3791,test,16313
SNL,SNL_18650_LFP_35C_0-100_0.5-2C_a.pkl,3842,test,3856
ISU-ILCC,ISU-ILCC_G57C1.pkl,3936,val,12620
ISU-ILCC,ISU-ILCC_G6C2.pkl,4109,train,11885
ISU-ILCC,ISU-ILCC_G49C3.pkl,4283,train,13673
ISU-ILCC,ISU-ILCC_G57C3.pkl,4999,train,12989
